source,target
Lillian Gish,Donald Crisp
Harrison Ford,Edward James Olmos
Harrison Ford,Ridley Scott
Edward James Olmos,Ridley Scott
Gene Wilder,Madeline Kahn
Dennis Hopper,Laura Dern
Dennis Hopper,Hope Lange
Dennis Hopper,Dean Stockwell
Dennis Hopper,Brad Dourif
Dennis Hopper,David Lynch
Laura Dern,Hope Lange
Laura Dern,Dean Stockwell
Laura Dern,Brad Dourif
Laura Dern,David Lynch
Hope Lange,Dean Stockwell
Hope Lange,Brad Dourif
Hope Lange,David Lynch
Dean Stockwell,Brad Dourif
Dean Stockwell,David Lynch
Brad Dourif,David Lynch
Ryan O'Neal,Stanley Kubrick
Hilary Swank,Candy Clark
Mel Gibson,Ian Bannen
Mel Gibson,Mel Gibson
Ian Bannen,Mel Gibson
Jack Nicholson,Michael Keaton
Jack Nicholson,Kim Basinger
Jack Nicholson,Jack Palance
Michael Keaton,Kim Basinger
Michael Keaton,Jack Palance
Kim Basinger,Jack Palance
Michael Keaton,Michelle Pfeiffer
Michael Keaton,Christopher Walken
Michelle Pfeiffer,Christopher Walken
George Clooney,Uma Thurman
Tommy Lee Jones,Nicole Kidman
Orson Welles,Agnes Moorehead
Orson Welles,Orson Welles
Agnes Moorehead,Orson Welles
John Gielgud,Ian Holm
John Gielgud,Hugh Hudson
Ian Holm,Hugh Hudson
Marlene Dietrich,James Stewart
Marlene Dietrich,Brian Donlevy
Marlene Dietrich,Mischa Auer
Marlene Dietrich,Una Merkel
James Stewart,Brian Donlevy
James Stewart,Mischa Auer
James Stewart,Una Merkel
Brian Donlevy,Mischa Auer
Brian Donlevy,Una Merkel
Mischa Auer,Una Merkel
Peter Sellers,George C. Scott
Peter Sellers,James Earl Jones
Peter Sellers,Stanley Kubrick
George C. Scott,James Earl Jones
George C. Scott,Stanley Kubrick
James Earl Jones,Stanley Kubrick
Tom Cruise,Nicole Kidman
Tom Cruise,Sydney Pollack
Tom Cruise,Stanley Kubrick
Nicole Kidman,Sydney Pollack
Nicole Kidman,Stanley Kubrick
Sydney Pollack,Stanley Kubrick
Jeff Bridges,Rosie Perez
Jeff Bridges,Tom Hulce
Jeff Bridges,Peter Weir
Rosie Perez,Tom Hulce
Rosie Perez,Peter Weir
Tom Hulce,Peter Weir
Alec Baldwin,James Woods
Sigourney Weaver,Sam Rockwell
Ruth Gordon,Hal Ashby
Winona Ryder,Penelope Milford
Harvey Keitel,Robert De Niro
Harvey Keitel,Martin Scorsese
Harvey Keitel,Martin Scorsese
Robert De Niro,Martin Scorsese
Robert De Niro,Martin Scorsese
Martin Scorsese,Martin Scorsese
Sandra Bullock,Michael Caine
Sandra Bullock,Candice Bergen
Michael Caine,Candice Bergen
Naomi Watts,Robert Forster
Naomi Watts,Lee Grant
Naomi Watts,David Lynch
Robert Forster,Lee Grant
Robert Forster,David Lynch
Lee Grant,David Lynch
Woody Harrelson,Juliette Lewis
Woody Harrelson,Robert Downey Jr.
Woody Harrelson,Tommy Lee Jones
Woody Harrelson,Adrien Brody
Woody Harrelson,Oliver Stone
Juliette Lewis,Robert Downey Jr.
Juliette Lewis,Tommy Lee Jones
Juliette Lewis,Adrien Brody
Juliette Lewis,Oliver Stone
Robert Downey Jr.,Tommy Lee Jones
Robert Downey Jr.,Adrien Brody
Robert Downey Jr.,Oliver Stone
Tommy Lee Jones,Adrien Brody
Tommy Lee Jones,Oliver Stone
Adrien Brody,Oliver Stone
George Clooney,Charles Durning
George Clooney,Holly Hunter
Charles Durning,Holly Hunter
Kirk Douglas,Adolphe Menjou
Kirk Douglas,Stanley Kubrick
Adolphe Menjou,Stanley Kubrick
Anthony Perkins,Martin Balsam
Anthony Perkins,Janet Leigh
Anthony Perkins,Alfred Hitchcock
Martin Balsam,Janet Leigh
Martin Balsam,Alfred Hitchcock
Janet Leigh,Alfred Hitchcock
Robert De Niro,Cathy Moriarty
Robert De Niro,Joe Pesci
Robert De Niro,Martin Scorsese
Robert De Niro,Martin Scorsese
Cathy Moriarty,Joe Pesci
Cathy Moriarty,Martin Scorsese
Cathy Moriarty,Martin Scorsese
Joe Pesci,Martin Scorsese
Joe Pesci,Martin Scorsese
Martin Scorsese,Martin Scorsese
Alfre Woodard,James Cromwell
Tom Hanks,Matt Damon
Tom Hanks,Paul Giamatti
Tom Hanks,Bryan Cranston
Tom Hanks,Steven Spielberg
Matt Damon,Paul Giamatti
Matt Damon,Bryan Cranston
Matt Damon,Steven Spielberg
Paul Giamatti,Bryan Cranston
Paul Giamatti,Steven Spielberg
Bryan Cranston,Steven Spielberg
Jaye Davidson,Djimon Hounsou
Jeff Bridges,Julianne Moore
Jeff Bridges,Philip Seymour Hoffman
Jeff Bridges,Sam Elliott
Jeff Bridges,Joel Coen
Julianne Moore,Philip Seymour Hoffman
Julianne Moore,Sam Elliott
Julianne Moore,Joel Coen
Philip Seymour Hoffman,Sam Elliott
Philip Seymour Hoffman,Joel Coen
Sam Elliott,Joel Coen
Sean Connery,Nicolas Cage
Sean Connery,Ed Harris
Nicolas Cage,Ed Harris
Anne Bancroft,Dustin Hoffman
Anne Bancroft,Katharine Ross
Anne Bancroft,Buck Henry
Anne Bancroft,Mike Nichols
Dustin Hoffman,Katharine Ross
Dustin Hoffman,Buck Henry
Dustin Hoffman,Mike Nichols
Katharine Ross,Buck Henry
Katharine Ross,Mike Nichols
Buck Henry,Mike Nichols
Robert De Niro,Jodie Foster
Robert De Niro,Albert Brooks
Robert De Niro,Harvey Keitel
Robert De Niro,Martin Scorsese
Robert De Niro,Martin Scorsese
Jodie Foster,Albert Brooks
Jodie Foster,Harvey Keitel
Jodie Foster,Martin Scorsese
Jodie Foster,Martin Scorsese
Albert Brooks,Harvey Keitel
Albert Brooks,Martin Scorsese
Albert Brooks,Martin Scorsese
Harvey Keitel,Martin Scorsese
Harvey Keitel,Martin Scorsese
Martin Scorsese,Martin Scorsese
Jodie Foster,Anthony Hopkins
Jodie Foster,Jonathan Demme
Anthony Hopkins,Jonathan Demme
Paul Winfield,James Cameron
Gregory Peck,Jean Simmons
Gregory Peck,Charlton Heston
Gregory Peck,Carroll Baker
Gregory Peck,Burl Ives
Gregory Peck,Charles Bickford
Gregory Peck,William Wyler
Jean Simmons,Charlton Heston
Jean Simmons,Carroll Baker
Jean Simmons,Burl Ives
Jean Simmons,Charles Bickford
Jean Simmons,William Wyler
Charlton Heston,Carroll Baker
Charlton Heston,Burl Ives
Charlton Heston,Charles Bickford
Charlton Heston,William Wyler
Carroll Baker,Burl Ives
Carroll Baker,Charles Bickford
Carroll Baker,William Wyler
Burl Ives,Charles Bickford
Burl Ives,William Wyler
Charles Bickford,William Wyler
Mel Gibson,Sigourney Weaver
Mel Gibson,Linda Hunt
Mel Gibson,Peter Weir
Sigourney Weaver,Linda Hunt
Sigourney Weaver,Peter Weir
Linda Hunt,Peter Weir
Brad Pitt,Christopher Plummer
Stephen Rea,Miranda Richardson
Stephen Rea,Jaye Davidson
Stephen Rea,Forest Whitaker
Stephen Rea,Jim Broadbent
Stephen Rea,Neil Jordan
Miranda Richardson,Jaye Davidson
Miranda Richardson,Forest Whitaker
Miranda Richardson,Jim Broadbent
Miranda Richardson,Neil Jordan
Jaye Davidson,Forest Whitaker
Jaye Davidson,Jim Broadbent
Jaye Davidson,Neil Jordan
Forest Whitaker,Jim Broadbent
Forest Whitaker,Neil Jordan
Jim Broadbent,Neil Jordan
Toni Collette,Haley Joel Osment
Toni Collette,M. Night Shyamalan
Toni Collette,M. Night Shyamalan
Haley Joel Osment,M. Night Shyamalan
Haley Joel Osment,M. Night Shyamalan
M. Night Shyamalan,M. Night Shyamalan
Tim Robbins,Morgan Freeman
Tim Robbins,James Whitmore
Morgan Freeman,James Whitmore
Chris Sarandon,Peter Falk
Chris Sarandon,Carol Kane
Peter Falk,Carol Kane
Robert Duvall,George Lucas
Richard Farnsworth,Sissy Spacek
Richard Farnsworth,David Lynch
Sissy Spacek,David Lynch
Yul Brynner,Steve McQueen
Yul Brynner,Robert Vaughn
Yul Brynner,James Coburn
Yul Brynner,John Sturges
Steve McQueen,Robert Vaughn
Steve McQueen,James Coburn
Steve McQueen,John Sturges
Robert Vaughn,James Coburn
Robert Vaughn,John Sturges
James Coburn,John Sturges
William Hurt,Max von Sydow
Samuel L. Jackson,M. Night Shyamalan
Samuel L. Jackson,M. Night Shyamalan
M. Night Shyamalan,M. Night Shyamalan
Matthew McConaughey,Harvey Keitel
Max von Sydow,Ingmar Bergman
Rod Steiger,Christopher Plummer
Rod Steiger,Orson Welles
Rod Steiger,Dan O'Herlihy
Christopher Plummer,Orson Welles
Christopher Plummer,Dan O'Herlihy
Orson Welles,Dan O'Herlihy
Don Cheadle,Benicio Del Toro
Don Cheadle,Michael Douglas
Don Cheadle,Catherine Zeta-Jones
Don Cheadle,Amy Irving
Don Cheadle,Albert Finney
Don Cheadle,Viola Davis
Don Cheadle,Salma Hayek
Don Cheadle,Steven Soderbergh
Benicio Del Toro,Michael Douglas
Benicio Del Toro,Catherine Zeta-Jones
Benicio Del Toro,Amy Irving
Benicio Del Toro,Albert Finney
Benicio Del Toro,Viola Davis
Benicio Del Toro,Salma Hayek
Benicio Del Toro,Steven Soderbergh
Michael Douglas,Catherine Zeta-Jones
Michael Douglas,Amy Irving
Michael Douglas,Albert Finney
Michael Douglas,Viola Davis
Michael Douglas,Salma Hayek
Michael Douglas,Steven Soderbergh
Catherine Zeta-Jones,Amy Irving
Catherine Zeta-Jones,Albert Finney
Catherine Zeta-Jones,Viola Davis
Catherine Zeta-Jones,Salma Hayek
Catherine Zeta-Jones,Steven Soderbergh
Amy Irving,Albert Finney
Amy Irving,Viola Davis
Amy Irving,Salma Hayek
Amy Irving,Steven Soderbergh
Albert Finney,Viola Davis
Albert Finney,Salma Hayek
Albert Finney,Steven Soderbergh
Viola Davis,Salma Hayek
Viola Davis,Steven Soderbergh
Salma Hayek,Steven Soderbergh
Kevin Costner,Tommy Lee Jones
Kevin Costner,Laurie Metcalf
Kevin Costner,Gary Oldman
Kevin Costner,Sissy Spacek
Kevin Costner,Joe Pesci
Kevin Costner,Jack Lemmon
Kevin Costner,Walter Matthau
Kevin Costner,Sally Kirkland
Kevin Costner,Oliver Stone
Tommy Lee Jones,Laurie Metcalf
Tommy Lee Jones,Gary Oldman
Tommy Lee Jones,Sissy Spacek
Tommy Lee Jones,Joe Pesci
Tommy Lee Jones,Jack Lemmon
Tommy Lee Jones,Walter Matthau
Tommy Lee Jones,Sally Kirkland
Tommy Lee Jones,Oliver Stone
Laurie Metcalf,Gary Oldman
Laurie Metcalf,Sissy Spacek
Laurie Metcalf,Joe Pesci
Laurie Metcalf,Jack Lemmon
Laurie Metcalf,Walter Matthau
Laurie Metcalf,Sally Kirkland
Laurie Metcalf,Oliver Stone
Gary Oldman,Sissy Spacek
Gary Oldman,Joe Pesci
Gary Oldman,Jack Lemmon
Gary Oldman,Walter Matthau
Gary Oldman,Sally Kirkland
Gary Oldman,Oliver Stone
Sissy Spacek,Joe Pesci
Sissy Spacek,Jack Lemmon
Sissy Spacek,Walter Matthau
Sissy Spacek,Sally Kirkland
Sissy Spacek,Oliver Stone
Joe Pesci,Jack Lemmon
Joe Pesci,Walter Matthau
Joe Pesci,Sally Kirkland
Joe Pesci,Oliver Stone
Jack Lemmon,Walter Matthau
Jack Lemmon,Sally Kirkland
Jack Lemmon,Oliver Stone
Walter Matthau,Sally Kirkland
Walter Matthau,Oliver Stone
Sally Kirkland,Oliver Stone
Gary Oldman,Natalie Portman
Gary Oldman,Danny Aiello
Natalie Portman,Danny Aiello
Tom Hanks,Gary Sinise
Tom Hanks,Sally Field
Tom Hanks,Haley Joel Osment
Tom Hanks,Robert Zemeckis
Gary Sinise,Sally Field
Gary Sinise,Haley Joel Osment
Gary Sinise,Robert Zemeckis
Sally Field,Haley Joel Osment
Sally Field,Robert Zemeckis
Haley Joel Osment,Robert Zemeckis
Bette Davis,Anne Baxter
Bette Davis,George Sanders
Bette Davis,Celeste Holm
Bette Davis,Thelma Ritter
Bette Davis,Joseph L. Mankiewicz
Anne Baxter,George Sanders
Anne Baxter,Celeste Holm
Anne Baxter,Thelma Ritter
Anne Baxter,Joseph L. Mankiewicz
George Sanders,Celeste Holm
George Sanders,Thelma Ritter
George Sanders,Joseph L. Mankiewicz
Celeste Holm,Thelma Ritter
Celeste Holm,Joseph L. Mankiewicz
Thelma Ritter,Joseph L. Mankiewicz
Gregory Peck,Dorothy McGuire
Gregory Peck,John Garfield
Gregory Peck,Celeste Holm
Gregory Peck,Anne Revere
Gregory Peck,Dean Stockwell
Gregory Peck,Sam Jaffe
Gregory Peck,Elia Kazan
Dorothy McGuire,John Garfield
Dorothy McGuire,Celeste Holm
Dorothy McGuire,Anne Revere
Dorothy McGuire,Dean Stockwell
Dorothy McGuire,Sam Jaffe
Dorothy McGuire,Elia Kazan
John Garfield,Celeste Holm
John Garfield,Anne Revere
John Garfield,Dean Stockwell
John Garfield,Sam Jaffe
John Garfield,Elia Kazan
Celeste Holm,Anne Revere
Celeste Holm,Dean Stockwell
Celeste Holm,Sam Jaffe
Celeste Holm,Elia Kazan
Anne Revere,Dean Stockwell
Anne Revere,Sam Jaffe
Anne Revere,Elia Kazan
Dean Stockwell,Sam Jaffe
Dean Stockwell,Elia Kazan
Sam Jaffe,Elia Kazan
Robert Mitchum,Robert Ryan
Robert Mitchum,Gloria Grahame
Robert Mitchum,Edward Dmytryk
Robert Ryan,Gloria Grahame
Robert Ryan,Edward Dmytryk
Gloria Grahame,Edward Dmytryk
Dustin Hoffman,Jon Voight
Dustin Hoffman,Sylvia Miles
Dustin Hoffman,Brenda Vaccaro
Dustin Hoffman,John Schlesinger
Jon Voight,Sylvia Miles
Jon Voight,Brenda Vaccaro
Jon Voight,John Schlesinger
Sylvia Miles,Brenda Vaccaro
Sylvia Miles,John Schlesinger
Brenda Vaccaro,John Schlesinger
Fredric March,Teresa Wright
Fredric March,Harold Russell
Fredric March,Gladys George
Fredric March,William Wyler
Teresa Wright,Harold Russell
Teresa Wright,Gladys George
Teresa Wright,William Wyler
Harold Russell,Gladys George
Harold Russell,William Wyler
Gladys George,William Wyler
Matt Dillon,Timothy Hutton
Matt Dillon,Natalie Portman
Matt Dillon,Mira Sorvino
Matt Dillon,Uma Thurman
Timothy Hutton,Natalie Portman
Timothy Hutton,Mira Sorvino
Timothy Hutton,Uma Thurman
Natalie Portman,Mira Sorvino
Natalie Portman,Uma Thurman
Mira Sorvino,Uma Thurman
Susan Sarandon,Natalie Portman
Alan Alda,Woody Allen
Alan Alda,Goldie Hawn
Alan Alda,Edward Norton
Alan Alda,Natalie Portman
Alan Alda,Julia Roberts
Alan Alda,Tim Roth
Alan Alda,Woody Allen
Woody Allen,Goldie Hawn
Woody Allen,Edward Norton
Woody Allen,Natalie Portman
Woody Allen,Julia Roberts
Woody Allen,Tim Roth
Woody Allen,Woody Allen
Goldie Hawn,Edward Norton
Goldie Hawn,Natalie Portman
Goldie Hawn,Julia Roberts
Goldie Hawn,Tim Roth
Goldie Hawn,Woody Allen
Edward Norton,Natalie Portman
Edward Norton,Julia Roberts
Edward Norton,Tim Roth
Edward Norton,Woody Allen
Natalie Portman,Julia Roberts
Natalie Portman,Tim Roth
Natalie Portman,Woody Allen
Julia Roberts,Tim Roth
Julia Roberts,Woody Allen
Tim Roth,Woody Allen
Burt Lancaster,Montgomery Clift
Burt Lancaster,Deborah Kerr
Burt Lancaster,Donna Reed
Burt Lancaster,Frank Sinatra
Burt Lancaster,Ernest Borgnine
Burt Lancaster,Jack Warden
Burt Lancaster,Fred Zinnemann
Montgomery Clift,Deborah Kerr
Montgomery Clift,Donna Reed
Montgomery Clift,Frank Sinatra
Montgomery Clift,Ernest Borgnine
Montgomery Clift,Jack Warden
Montgomery Clift,Fred Zinnemann
Deborah Kerr,Donna Reed
Deborah Kerr,Frank Sinatra
Deborah Kerr,Ernest Borgnine
Deborah Kerr,Jack Warden
Deborah Kerr,Fred Zinnemann
Donna Reed,Frank Sinatra
Donna Reed,Ernest Borgnine
Donna Reed,Jack Warden
Donna Reed,Fred Zinnemann
Frank Sinatra,Ernest Borgnine
Frank Sinatra,Jack Warden
Frank Sinatra,Fred Zinnemann
Ernest Borgnine,Jack Warden
