name,films
Lillian Gish,"{'The Birth of a Nation': ('star', 1915), 'Broken Blossoms': ('star', 1919), 'The Night of the Hunter (film)': ('star', 1955), 'The Wind (1928 film)': ('star', 1928), 'Duel in the Sun (film)': ('cast', 1946), 'Intolerance (film)': ('star', 1916), 'The Whales of August': ('star', 1987), 'A Wedding': ('star', 1978), 'Ben-Hur: A Tale of the Christ (1925 film)': ('cast', 1925), 'Portrait of Jennie': ('cast', 1948), 'Warning Shot (1967 film)': ('star', 1967), 'The Unforgiven (1960 film)': ('cast', 1960), 'Follow Me, Boys!': ('star', 1966), 'Judith of Bethulia': ('cast', 1914), 'Way Down East': ('star', 1920), 'Hearts of the World': ('star', 1918), 'One Romantic Night': ('star', 1930), 'Orphans of the Storm': ('star', 1921), 'The New York Hat': ('star', 1912), 'Annie Laurie (1927 film)': ('star', 1927), 'The Green-Eyed Devil': ('cast', 1914), 'Home, Sweet Home (1914 film)': ('star', 1914), 'The Hunchback (1914 film)': ('star', 1914), 'An Unseen Enemy': ('star', 1912), 'Oil and Water (film)': ('cast', 1913), 'Sweet Liberty': ('star', 1986), 'Commandos Strike at Dawn': ('star', 1942), 'Two Daughters of Eve': ('cast', 1912), 'So Near, yet So Far': ('cast', 1912), 'In the Aisles of the Wild': ('star', 1912), 'The One She Loved': ('cast', 1912), 'The Painted Lady': ('cast', 1912), 'Gold and Glitter': ('cast', 1912), 'The Informer (1912 film)': ('cast', 1912), 'Brutality (film)': ('cast', 1912), ""The Burglar's Dilemma"": ('cast', 1912), 'A Cry for Help (1912 film)': ('cast', 1912), 'The Unwelcome Guest': ('cast', 1913), 'The Left-Handed Man': ('star', 1913), 'A Modest Hero': ('cast', 1913), 'Madonna of the Storm': ('star', 1913), 'The Battle at Elderbush Gulch': ('star', 1913), 'Lord Chumley': ('star', 1914), 'La Bohème (1926 film)': ('star', 1926), 'My Baby (film)': ('cast', 1912), 'A Misunderstood Boy': ('cast', 1913), 'The Lady and the Mouse': ('star', 1913), 'The House of Darkness': ('cast', 1913), 'Just Gold': ('cast', 1913), 'A Timely Interception': ('cast', 1913), 'The Mothering Heart': ('cast', 1913), 'During the Round-Up': ('star', 1913), ""An Indian's Loyalty"": ('star', 1913), 'A Woman in the Ultimate': ('star', 1913), 'So Runs the Way': ('star', 1913), 'The Conscience of Hassan Bey': ('star', 1913), 'The Battle of the Sexes (1914 film)': ('star', 1914), 'The Quicksands': ('star', 1914), 'The Rebellion of Kitty Belle': ('star', 1914), 'The Angel of Contention': ('star', 1914), ""Man's Enemy"": ('star', 1914), 'The Tear That Burned': ('star', 1914), 'The Folly of Anne': ('star', 1914), 'The Sisters (1914 film)': ('star', 1914), 'The Lost House': ('star', 1915), 'Enoch Arden (1915 film)': ('star', 1915), 'Captain Macklin': ('star', 1915), 'The Lily and the Rose': ('star', 1915), 'Pathways of Life': ('star', 1916), 'Daphne and the Pirate': ('star', 1916), 'Sold for Marriage': ('star', 1916), 'An Innocent Magdalene': ('star', 1916), 'Diane of the Follies': ('star', 1916), 'The Children Pay': ('star', 1916), 'The House Built Upon Sand': ('star', 1916), 'Souls Triumphant': ('star', 1917), 'The Great Love (1918 film)': ('star', 1918), 'Lillian Gish in a Liberty Loan Appeal': ('star', 1918), 'The Greatest Thing in Life': ('star', 1918), 'A Romance of Happy Valley': ('star', 1919), 'The Greatest Question': ('star', 1919), 'The White Sister (1923 film)': ('star', 1923), 'Romola (film)': ('star', 1924), 'The Scarlet Letter (1926 film)': ('star', 1926), 'The Enemy (1927 film)': ('star', 1927), 'Orders to Kill': ('star', 1958), 'His Double Life': ('star', 1933), ""Miss Susie Slagle's"": ('star', 1946), 'Remodeling Her Husband': ('director', 1920), 'Hambone and Hillie': ('star', 1984)}"
Donald Crisp,"{'The Birth of a Nation': ('cast', 1915), 'Broken Blossoms': ('star', 1919), 'Knute Rockne, All American': ('cast', 1940), 'Lassie Come Home': ('star', 1943), 'The Valley of Decision': ('star', 1945), 'Intolerance (film)': ('cast', 1916), 'Mary of Scotland (film)': ('cast', 1936), 'The Private Lives of Elizabeth and Essex': ('cast', 1939), 'The Sea Hawk (1940 film)': ('cast', 1940), 'Juarez (film)': ('cast', 1939), 'Jezebel (1938 film)': ('star', 1938), 'Tell Your Children': ('director', 1922), 'The Gay Sisters': ('star', 1942), 'A Woman Rebels': ('cast', 1936), 'The Adventures of Mark Twain (1944 film)': ('cast', 1944), 'Daughters Courageous': ('cast', 1939), 'Dr. Jekyll and Mr. Hyde (1941 film)': ('cast', 1941), 'Bright Leaf': ('cast', 1950), 'Red Dust (1932 film)': ('cast', 1932), 'Ramrod (film)': ('cast', 1947), 'The Viking (1928 film)': ('star', 1928), 'The Long Gray Line': ('cast', 1955), 'Wuthering Heights (1939 film)': ('cast', 1939), 'Mutiny on the Bounty (1935 film)': ('cast', 1935), 'The Navigator (1924 film)': ('director', 1924), 'National Velvet (film)': ('star', 1944), 'How Green Was My Valley (film)': ('star', 1941), 'The Amazing Dr. Clitterhouse': ('cast', 1938), 'The Oklahoma Kid': ('star', 1939), 'Shining Victory': ('star', 1941), 'The Charge of the Light Brigade (1936 film)': ('cast', 1936), 'The Runaway Bride (film)': ('director', 1930), 'Son of Lassie': ('star', 1945), 'The Old Maid (1939 film)': ('star', 1939), 'Home, Sweet Home (1914 film)': ('cast', 1914), ""Dr. Ehrlich's Magic Bullet"": ('star', 1940), 'The Uninvited (1944 film)': ('star', 1944), 'Don Q, Son of Zorro': ('director', 1925), 'Svengali (1931 film)': ('cast', 1931), 'Home Town Story': ('star', 1951), 'Brother Orchid': ('cast', 1940), 'The Sisters (1938 film)': ('cast', 1938), 'The Last Hurrah (1958 film)': ('cast', 1958), 'Her Awakening': ('cast', 1911), 'Whispering Smith': ('cast', 1948), 'The Battle (1911 film)': ('cast', 1911), 'What Shall We Do with Our Old?': ('cast', 1911), 'Pirate Gold (1913 film)': ('cast', 1913), 'Near to Earth': ('cast', 1913), ""The Sheriff's Baby"": ('cast', 1913), 'Olaf—An Atom': ('cast', 1913), 'Two Men of the Desert': ('cast', 1913), 'Black and White (1913 film)': ('cast', 1913), ""Her Father's Silent Partner"": ('director', 1914), 'The Dawn Patrol (1938 film)': ('cast', 1938), 'Greyfriars Bobby (film)': ('star', 1961), 'Challenge to Lassie': ('star', 1949), 'City for Conquest': ('cast', 1940), 'The Little Minister (1934 film)': ('cast', 1934), 'Confession (1937 film)': ('cast', 1937), 'Appearances (film)': ('director', 1921), 'The Princess of New York': ('director', 1921), 'The Bonnie Brier Bush': ('star', 1921), 'Joan the Woman': ('cast', 1916), 'Parnell (film)': ('cast', 1937), 'The Mothering Heart': ('cast', 1913), 'The Battle of the Sexes (1914 film)': ('star', 1914), 'The Folly of Anne': ('cast', 1914), 'The Sisters (1914 film)': ('cast', 1914), 'Hills of Home (film)': ('star', 1948), 'Sons of Liberty (film)': ('cast', 1939), 'Ramona (1916 film)': ('director', 1916), 'Pollyanna (1960 film)': ('cast', 1960), 'The Escape (1914 film)': ('star', 1914), 'The Two Paths (1911 film)': ('cast', 1911), 'Heart Beats of Long Ago': ('cast', 1911), 'The Lily of the Tenements': ('cast', 1911), 'A Decree of Destiny': ('cast', 1911), 'The White Rose of the Wilds': ('cast', 1911), 'The Primal Call': ('cast', 1911), 'Out from the Shadow': ('cast', 1911), 'The Making of a Man': ('cast', 1911), 'The Long Road (film)': ('cast', 1911), ""The Miser's Heart"": ('cast', 1911), 'The Eternal Mother (1912 film)': ('cast', 1912), 'The Inner Circle (1912 film)': ('cast', 1912), 'Prince Valiant (1954 film)': ('cast', 1954), 'Beloved Enemy': ('cast', 1936), 'The Italian Barber': ('cast', 1911), ""Fate's Turning"": ('cast', 1911), 'The Key (1934 film)': ('cast', 1934), 'Drango': ('star', 1957), 'Saddle the Wind': ('star', 1958), 'The White Angel (1936 film)': ('cast', 1936), 'Oil for the Lamps of China (film)': ('cast', 1935), ""Trent's Last Case (1929 film)"": ('star', 1929), 'What Every Woman Knows (1934 film)': ('cast', 1934), 'The Return of Sherlock Holmes (1929 film)': ('cast', 1929), 'A Girl of Yesterday': ('cast', 1915), 'The Pagan': ('star', 1929), 'Dress Parade': ('director', 1927), 'Swords and Hearts': ('cast', 1911), 'Kick In (1931 film)': ('cast', 1931), 'Ponjola': ('director', 1923), 'Young April': ('director', 1926), 'Believe Me, Xantippe': ('director', 1918), ""The Great O'Malley"": ('cast', 1937), 'The Cop (1928 film)': ('director', 1928), 'Sergeant Murphy': ('star', 1938), 'Comet Over Broadway': ('cast', 1938), 'The Life of Vergie Winters': ('cast', 1934), 'A Dog of Flanders (1959 film)': ('star', 1960), 'Vanity (1927 film)': ('director', 1927), 'The Beloved Brat': ('star', 1938), 'The Barbarian (1920 film)': ('director', 1920), 'Too Much Johnson (1919 film)': ('director', 1919), 'The Six Best Cellars': ('director', 1920), 'Vanessa: Her Love Story': ('cast', 1935), 'Stand and Deliver (1928 film)': ('director', 1928), 'The Fighting Eagle': ('director', 1927), 'Why Smith Left Home': ('director', 1919), 'Love Insurance': ('director', 1919), 'The Adventures of Billy': ('star', 1911), 'The Crime Doctor (1934 film)': ('cast', 1934), 'Laddie (1935 film)': ('cast', 1935), 'Putting It Over': ('director', 1919), 'Winning Back His Love': ('cast', 1910), 'Rimrock Jones': ('director', 1918), 'Valley of the Giants (film)': ('star', 1938), 'The Love Route': ('star', 1915), 'The Commanding Officer': ('star', 1915), 'May Blossom (film)': ('star', 1915), 'His Sweetheart': ('director', 1917), 'The Bond Between': ('director', 1917), 'The Marcellini Millions': ('director', 1917), 'A Roadside Impresario': ('director', 1917), 'The Cook of Canyon Camp': ('director', 1917), 'Lost in Transit (1917 film)': ('director', 1917), 'The Countess Charming': ('director', 1917), 'The Clever Mrs. Carfax': ('director', 1917), 'Jules of the Strong Heart': ('director', 1918), 'The House of Silence': ('director', 1918), 'The Firefly of France': ('director', 1918), 'Less Than Kin': ('director', 1918), 'The Way of a Man with a Maid (film)': ('director', 1918), 'Venus in the East': ('director', 1919), 'The Poor Boob': ('director', 1919), 'Something to Do': ('director', 1919), 'A Very Good Young Man': ('director', 1919), 'It Pays to Advertise (1919 film)': ('director', 1919), 'Under the Top': ('director', 1919), 'Johnny Get Your Gun': ('director', 1919), 'The Goat (1918 film)': ('director', 1918), 'Scotland Yard (1930 film)': ('star', 1930), 'A Passport to Hell': ('star', 1932), 'Broadway Bad': ('cast', 1933), 'The River Pirate': ('star', 1928), 'Held by the Enemy (film)': ('director', 1920), 'Miss Hobbs': ('director', 1920), 'The Great Leap; Until Death Do Us Part': ('cast', 1914), 'Man Bait (1927 film)': ('director', 1927), 'Sunny Side Up (1926 film)': ('director', 1926), ""Nobody's Widow"": ('director', 1927), 'The Mountain Rat': ('cast', 1914)}"
Harrison Ford,"{'Blade Runner': ('star', 1982), 'K-19: The Widowmaker': ('star', 2002), 'Return of the Jedi': ('star', 1983), 'Indiana Jones and the Last Crusade': ('star', 1989), 'Star Wars (film)': ('star', 1977), 'The Empire Strikes Back': ('star', 1980), 'Raiders of the Lost Ark': ('star', 1981), 'The Conversation': ('cast', 1974), 'American Graffiti': ('cast', 1973), 'Indiana Jones and the Temple of Doom': ('star', 1984), 'Witness (1985 film)': ('star', 1985), 'Working Girl': ('star', 1988), 'Air Force One (film)': ('star', 1997), 'Six Days, Seven Nights': ('star', 1998), 'The Frisco Kid': ('star', 1979), 'The Mosquito Coast': ('star', 1986), 'What Lies Beneath': ('star', 2000), ""The Devil's Own"": ('star', 1997), 'Frantic (film)': ('cast', 1988), 'Presumed Innocent (film)': ('star', 1990), 'Jimmy Hollywood': ('cast', 1994), 'Indiana Jones and the Kingdom of the Crystal Skull': ('star', 2008), 'Sabrina (1995 film)': ('star', 1995), 'Star Wars Trilogy': ('star', 1977), 'Clear and Present Danger (film)': ('star', 1994), ""Ender's Game (film)"": ('star', 2013), 'More American Graffiti': ('cast', 1979), 'The Fugitive (1993 film)': ('star', 1993), 'Hanover Street (film)': ('star', 1979), 'Apocalypse Now Redux': ('star', 2001), 'Firewall (film)': ('star', 2006), 'Hollywood Homicide': ('star', 2003), 'Dead Heat on a Merry-Go-Round': ('cast', 1966), 'Patriot Games (film)': ('star', 1992), 'Heroes (1977 film)': ('star', 1977), 'Regarding Henry': ('star', 1991), 'Getting Straight': ('cast', 1970), 'Crossing Over (film)': ('star', 2009), 'Star Wars: The Force Awakens': ('star', 2015), 'Brüno': ('cast', 2009), 'Apocalypse Now': ('cast', 1979), 'One Hundred and One Nights': ('cast', 1995), 'Morning Glory (2010 film)': ('star', 2010), 'Random Hearts': ('star', 1999), 'Extraordinary Measures': ('star', 2010), 'Luv (film)': ('cast', 1967), 'Journey to Shiloh': ('cast', 1968), 'Anchorman 2: The Legend Continues': ('cast', 2013), '42 (film)': ('star', 2013), 'Paranoia (2013 film)': ('star', 2013), 'The Expendables 3': ('star', 2014), 'Blade Runner 2049': ('star', 2017), 'The Age of Adaline': ('star', 2015), 'Drew: The Man Behind the Poster': ('star', 2013), 'The Secret Life of Pets 2': ('star', 2019), 'The Call of the Wild (2020 film)': ('star', 2020)}"
Edward James Olmos,"{'Blade Runner': ('star', 1982), 'Stand and Deliver': ('star', 1988), 'Selena (film)': ('star', 1997), 'In the Time of the Butterflies (film)': ('star', 2001), 'The Road to El Dorado': ('star', 2000), 'Roosters': ('star', 1993), 'Wolfen (film)': ('star', 1981), 'Zoot Suit (film)': ('star', 1981), 'Walkout (film)': ('director', 2006), 'American Me': ('star', 1992), 'The Wonderful Ice Cream Suit': ('star', 1998), 'Gossip (2000 American film)': ('star', 2000), 'Slave of Dreams': ('star', 1995), 'Virus (1980 film)': ('cast', 1980), 'Saving Grace (1986 film)': ('star', 1986), 'Even Cowgirls Get the Blues (film)': ('cast', 1993), 'The Taking of Pelham One Two Three (1998 film)': ('star', 1998), 'Beverly Hills Chihuahua': ('star', 2008), 'Caught (1996 film)': ('star', 1996), 'The Disappearance of Garcia Lorca': ('star', 1997), 'Talent for the Game': ('star', 1991), 'The Green Hornet (2011 film)': ('star', 2011), 'Splinter (2006 film)': ('star', 2006), ""I'm Still Here (2010 film)"": ('star', 2010), 'America (2011 Puerto Rican film)': ('cast', 2011), 'Aloha, Bobby and Rose': ('cast', 1975), '2 Guns': ('star', 2013), 'Hollywood Confidential': ('star', 1997), 'Filly Brown': ('star', 2012), 'Blade Runner 2049': ('cast', 2017), 'El Americano: The Movie': ('star', 2016), 'Go for Sisters': ('star', 2013), 'Mirage (1995 film)': ('star', 1995), 'Coco (2017 film)': ('star', 2017), 'Blade Runner Black Out 2022': ('star', 2017), 'The Ballad of Gregorio Cortez': ('star', 1982), 'Monday Nights at Seven': ('star', 2016), 'The Devil Has a Name': ('star', 2019), ""A Dog's Way Home"": ('star', 2019), 'Windows on the World (film)': ('star', 2019)}"
Ridley Scott,"{'Blade Runner': ('director', 1982), 'Thelma & Louise': ('director', 1991), 'Black Hawk Down (film)': ('director', 2001), '1984 (advertisement)': ('director', 1983), 'Kingdom of Heaven (film)': ('director', 2005), 'Hannibal (2001 film)': ('director', 2001), 'G.I. Jane': ('director', 1997), '1492: Conquest of Paradise': ('director', 1992), 'Legend (1985 film)': ('director', 1985), 'White Squall (film)': ('director', 1996), 'The Duellists': ('director', 1977), 'Black Rain (1989 American film)': ('director', 1989), 'Gladiator (2000 film)': ('director', 2000), 'A Good Year': ('director', 2006), 'Matchstick Men': ('director', 2003), 'American Gangster (film)': ('director', 2007), 'Someone to Watch Over Me (film)': ('director', 1987), 'Body of Lies (film)': ('director', 2008), 'Robin Hood (2010 film)': ('director', 2010), 'Alien (film)': ('director', 1979), 'Prometheus (2012 film)': ('director', 2012), 'The Counselor': ('director', 2013), 'Exodus: Gods and Kings': ('director', 2014), 'Alien: Covenant': ('director', 2017), 'The Martian (film)': ('director', 2015), 'All the Money in the World': ('director', 2017), 'The Last Duel (2020 film)': ('director', 2020)}"
Gene Wilder,"{'Blazing Saddles': ('star', 1974), 'Bonnie and Clyde (film)': ('cast', 1967), 'The Producers (1967 film)': ('star', 1967), 'Willy Wonka & the Chocolate Factory': ('star', 1971), 'The Frisco Kid': ('star', 1979), 'Young Frankenstein': ('cast', 1974), 'Silver Streak (film)': ('star', 1976), 'Everything You Always Wanted to Know About Sex* (*But Were Afraid to Ask) (film)': ('star', 1972), 'Stir Crazy (film)': ('star', 1980), 'The Little Prince (1974 film)': ('star', 1974), 'Haunted Honeymoon': ('star', 1986), 'See No Evil, Hear No Evil': ('star', 1989), ""The Adventure of Sherlock Holmes' Smarter Brother"": ('star', 1975), 'The Woman in Red (1984 film)': ('star', 1984), 'Quackser Fortune Has a Cousin in the Bronx': ('star', 1970), 'Start the Revolution Without Me': ('star', 1970), 'Another You': ('star', 1991), ""The World's Greatest Lover"": ('star', 1977), 'Hanky Panky (1982 film)': ('star', 1982), 'Sunday Lovers': ('star', 1980), 'Funny About Love': ('star', 1990)}"
Madeline Kahn,"{'Blazing Saddles': ('star', 1974), 'Clue (film)': ('star', 1985), 'Nixon (film)': ('cast', 1995), 'Young Frankenstein': ('cast', 1974), 'History of the World, Part I': ('star', 1981), 'High Anxiety': ('star', 1977), 'The Muppet Movie': ('star', 1979), 'An American Tail': ('star', 1986), 'Paper Moon (film)': ('star', 1973), 'At Long Last Love': ('star', 1975), 'Yellowbeard': ('star', 1983), 'The Cheap Detective': ('star', 1978), ""The Adventure of Sherlock Holmes' Smarter Brother"": ('star', 1975), 'Slapstick of Another Kind': ('star', 1982), 'City Heat': ('star', 1984), 'My Little Pony: The Movie (1986 film)': ('star', 1986), ""Betsy's Wedding"": ('star', 1990), 'Mixed Nuts': ('star', 1994), 'From the Mixed-Up Files of Mrs. Basil E. Frankweiler (1973 film)': ('cast', 1973), 'Simon (1980 film)': ('star', 1980), 'First Family (film)': ('star', 1980), 'Judy Berlin': ('star', 1999), 'Won Ton Ton, the Dog Who Saved Hollywood': ('star', 1976)}"
Dennis Hopper,"{'Blue Velvet (film)': ('star', 1986), 'Ticker (2001 film)': ('star', 2001), 'Easy Rider': ('star', 1969), 'Hoosiers (film)': ('star', 1986), 'Rebel Without a Cause': ('cast', 1955), 'Giant (1956 film)': ('star', 1956), 'Speed (1994 film)': ('star', 1994), 'Cool Hand Luke': ('cast', 1967), 'True Grit (1969 film)': ('star', 1969), 'Super Mario Bros. (film)': ('star', 1993), 'The American Friend': ('star', 1977), 'Straight Shooter (1999 film)': ('star', 1999), 'The Texas Chainsaw Massacre 2': ('star', 1986), 'Rumble Fish': ('star', 1983), 'True Romance': ('star', 1993), 'The Hot Spot': ('director', 1990), ""Hearts of Darkness: A Filmmaker's Apocalypse"": ('star', 1991), 'Waterworld': ('star', 1995), 'EDtv': ('star', 1999), 'Head (film)': ('cast', 1968), 'The Trip (1967 film)': ('star', 1967), 'Basquiat (film)': ('star', 1996), 'Land of the Dead': ('star', 2005), 'Out of the Blue (1980 film)': ('star', 1980), 'The Osterman Weekend (film)': ('star', 1983), 'Inside Deep Throat': ('cast', 2005), 'Gunfight at the O.K. Corral (film)': ('cast', 1957), 'Flashback (1990 film)': ('star', 1990), 'Colors (film)': ('director', 1988), 'Apocalypse Now Redux': ('star', 2001), ""River's Edge"": ('star', 1986), 'Knockaround Guys': ('star', 2001), 'O.C. and Stiggs': ('star', 1987), ""Jesus' Son (film)"": ('star', 1999), 'The Crow: Wicked Prayer': ('star', 2005), 'Hell Ride': ('star', 2008), 'Red Rock West': ('star', 1993), 'House of 9': ('star', 2004), 'Jason and the Argonauts (miniseries)': ('cast', 2000), ""Hang 'Em High"": ('cast', 1968), 'Top of the World (1997 film)': ('star', 1997), 'Chattahoochee (film)': ('star', 1989), 'Catchfire': ('star', 1990), 'Human Highway': ('star', 1982), 'Space Truckers': ('star', 1996), 'Queen of Blood': ('star', 1966), 'The Other Side of the Wind': ('star', 2018), 'The Story of Mankind (film)': ('cast', 1957), 'Held for Ransom (2000 film)': ('star', 2000), 'The Sons of Katie Elder': ('star', 1965), 'The Venice Project': ('star', 1999), 'Blood Red (film)': ('star', 1989), 'The Last Movie': ('star', 1971), 'Americano (2005 film)': ('star', 2005), 'Flesh Color': ('star', 1978), 'Carried Away (1996 film)': ('star', 1996), 'Black Widow (1987 film)': ('star', 1987), 'I Died a Thousand Times': ('cast', 1955), 'Sketches of Frank Gehry': ('star', 2006), 'The Indian Runner': ('star', 1991), 'Tycus': ('star', 1998), 'Meet the Deedles': ('star', 1998), 'The Pick-up Artist (film)': ('star', 1987), 'Tracks (1976 film)': ('star', 1976), 'Boiling Point (1993 film)': ('star', 1993), 'Night Tide': ('star', 1961), 'Memory (2006 film)': ('star', 2006), 'Mad Dog Morgan': ('star', 1976), 'Elegy (film)': ('star', 2008), 'Sleepwalking (film)': ('star', 2007), 'Swing Vote (2008 film)': ('star', 2008), 'Palermo Shooting': ('star', 2008), 'Chasers': ('director', 1994), 'The Sky Is Falling (1979 film)': ('star', 1979), 'Search and Destroy (1995 film)': ('star', 1995), 'An American Carol': ('star', 2008), 'Apocalypse Now': ('star', 1979), 'The Good Life (1997 film)': ('star', 1997), 'Alpha and Omega (film)': ('star', 2010), 'The Blackout (1997 film)': ('cast', 1997), 'Paris Trout': ('star', 1991), 'The Keeper (2004 film)': ('star', 2004), 'Kid Blue': ('star', 1973), 'From Hell to Texas': ('star', 1958), 'The Young Land': ('star', 1959), 'The Last Film Festival': ('star', 2016), 'The Last Days of Frankie the Fly': ('star', 1996), 'Sunset Heat (film)': ('star', 1992), 'CIA contro KGB': ('star', 1978), 'Eye of the Storm (1991 film)': ('cast', 1991), 'A Decade Under the Influence (film)': ('cast', 2003), 'Key Witness (1960 film)': ('star', 1960), 'The Spreading Ground': ('star', 2000), 'The Glory Stompers': ('star', 1967), 'Panic in the City': ('cast', 1968), 'Hoboken Hollow': ('star', 2006), 'The American Way (film)': ('star', 1986), 'Running Out of Luck': ('cast', 1987), 'James Dean: The First American Teenager': ('star', 1976), 'The Inside Man (film)': ('star', 1984), 'Road Ends': ('star', 1997), 'Unspeakable (2002 film)': ('cast', 2002), 'The Revenge of the Dead Indians': ('star', 1993), 'The American Dreamer': ('star', 1971), 'Leo (2002 film)': ('star', 2002)}"
Laura Dern,"{'Blue Velvet (film)': ('star', 1986), 'Jurassic Park (film)': ('star', 1993), 'I Am Sam': ('star', 2001), 'Wild at Heart (film)': ('star', 1990), 'Ladies and Gentlemen, The Fabulous Stains': ('star', 1982), 'Mask (1985 film)': ('star', 1985), 'Jurassic Park III': ('cast', 2001), 'Dr. T & the Women': ('star', 2000), 'Fat Man and Little Boy': ('star', 1989), 'October Sky': ('star', 1999), 'Industrial Symphony No. 1': ('star', 1990), 'Citizen Ruth': ('star', 1996), 'Bastard Out of Carolina (film)': ('cast', 1996), 'Novocaine (film)': ('star', 2001), 'Inland Empire (film)': ('star', 2006), 'Teachers (film)': ('cast', 1984), 'Foxes (film)': ('cast', 1980), ""We Don't Live Here Anymore"": ('star', 2004), 'The Prize Winner of Defiance, Ohio': ('star', 2005), 'Happy Endings (film)': ('star', 2005), 'Lonely Hearts (2006 film)': ('star', 2006), 'Smooth Talk': ('star', 1985), 'White Lightning (1973 film)': ('cast', 1973), 'Year of the Dog (film)': ('star', 2007), 'Rambling Rose (film)': ('star', 1991), 'Focus (2001 film)': ('star', 2001), 'Tenderness (2009 film)': ('cast', 2009), 'Little Fockers': ('cast', 2010), 'Daddy and Them': ('star', 2001), 'Everything Must Go (film)': ('cast', 2010), 'The Master (2012 film)': ('cast', 2012), 'When the Game Stands Tall': ('star', 2014), 'Haunted Summer': ('star', 1988), 'The Fault in Our Stars (film)': ('star', 2014), 'Wild (2014 film)': ('star', 2014), '99 Homes': ('star', 2014), 'Star Wars: The Last Jedi': ('star', 2017), 'The Founder': ('star', 2016), 'Wilson (2017 film)': ('star', 2017), 'Bravetown': ('cast', 2015), 'Certain Women (film)': ('star', 2016), 'The Baby Dance': ('star', 1998), 'JT LeRoy (film)': ('star', 2018), 'The Tale': ('star', 2018), 'Marriage Story': ('star', 2019), 'Little Women (2019 film)': ('star', 2019), 'Trial by Fire (2018 film)': ('star', 2018), 'Cold Pursuit': ('star', 2019)}"
Hope Lange,"{'Blue Velvet (film)': ('star', 1986), 'Bus Stop (1956 film)': ('cast', 1956), 'Peyton Place (film)': ('star', 1957), 'Pocketful of Miracles': ('star', 1961), 'Clear and Present Danger (film)': ('cast', 1994), 'Wild in the Country': ('star', 1961), 'The Young Lions (film)': ('cast', 1958), 'In Love and War (1958 film)': ('cast', 1958), 'Death Wish (1974 film)': ('star', 1974), 'Love Is a Ball': ('star', 1963), 'The Best of Everything (film)': ('star', 1959), 'The True Story of Jesse James': ('star', 1957), 'I Am the Cheese (film)': ('cast', 1983), 'Jigsaw (1968 film)': ('star', 1968), 'Hollywood Without Make-Up': ('cast', 1963), ""A Nightmare on Elm Street 2: Freddy's Revenge"": ('star', 1985), 'The Prodigal (1983 film)': ('star', 1983)}"
