title,year,role,name
The Birth of a Nation,1915,star,Lillian Gish
The Birth of a Nation,1915,cast,Donald Crisp
Blade Runner,1982,star,Harrison Ford
Blade Runner,1982,star,Edward James Olmos
Blade Runner,1982,director,Ridley Scott
Blazing Saddles,1974,star,Gene Wilder
Blazing Saddles,1974,star,Madeline Kahn
Blue Velvet (film),1986,star,Dennis Hopper
Blue Velvet (film),1986,star,Laura Dern
Blue Velvet (film),1986,star,Hope Lange
Blue Velvet (film),1986,star,Dean Stockwell
Blue Velvet (film),1986,cast,Brad Dourif
Blue Velvet (film),1986,director,David Lynch
Barry Lyndon,1975,star,Ryan O'Neal
Barry Lyndon,1975,director,Stanley Kubrick
Buffy the Vampire Slayer (film),1992,cast,Hilary Swank
Buffy the Vampire Slayer (film),1992,cast,Candy Clark
Braveheart,1995,star,Mel Gibson
Braveheart,1995,cast,Ian Bannen
Braveheart,1995,star,Mel Gibson
Batman (1989 film),1989,star,Jack Nicholson
Batman (1989 film),1989,star,Michael Keaton
Batman (1989 film),1989,star,Kim Basinger
Batman (1989 film),1989,star,Jack Palance
Batman (1966 film),1966,star,Burgess Meredith
Batman Returns,1992,star,Michael Keaton
Batman Returns,1992,star,Michelle Pfeiffer
Batman Returns,1992,star,Christopher Walken
Batman & Robin (film),1997,star,George Clooney
Batman & Robin (film),1997,star,Uma Thurman
Batman Forever,1995,star,Tommy Lee Jones
Batman Forever,1995,star,Nicole Kidman
Citizen Kane,1941,star,Orson Welles
Citizen Kane,1941,star,Agnes Moorehead
Citizen Kane,1941,star,Orson Welles
"Crouching Tiger, Hidden Dragon",2000,director,Ang Lee
Chariots of Fire,1981,star,John Gielgud
Chariots of Fire,1981,star,Ian Holm
Chariots of Fire,1981,director,Hugh Hudson
Destry Rides Again,1939,star,Marlene Dietrich
Destry Rides Again,1939,star,James Stewart
Destry Rides Again,1939,cast,Brian Donlevy
Destry Rides Again,1939,cast,Mischa Auer
Destry Rides Again,1939,cast,Una Merkel
Dressed to Kill (1980 film),1980,star,Michael Caine
Dr. Strangelove,1964,star,Peter Sellers
Dr. Strangelove,1964,star,George C. Scott
Dr. Strangelove,1964,cast,James Earl Jones
Dr. Strangelove,1964,director,Stanley Kubrick
Das Boot,1981,director,Wolfgang Petersen
Young and Innocent,1937,director,Alfred Hitchcock
Escape from New York,1981,star,Ernest Borgnine
Eyes Wide Shut,1999,star,Tom Cruise
Eyes Wide Shut,1999,star,Nicole Kidman
Eyes Wide Shut,1999,star,Sydney Pollack
Eyes Wide Shut,1999,director,Stanley Kubrick
Fearless (1993 film),1993,star,Jeff Bridges
Fearless (1993 film),1993,star,Rosie Perez
Fearless (1993 film),1993,star,Tom Hulce
Fearless (1993 film),1993,director,Peter Weir
Four Weddings and a Funeral,1994,star,Kristin Scott Thomas
Final Fantasy: The Spirits Within,2001,star,Alec Baldwin
Final Fantasy: The Spirits Within,2001,star,James Woods
Full Metal Jacket,1987,director,Stanley Kubrick
Galaxy Quest,1999,star,Sigourney Weaver
Galaxy Quest,1999,star,Sam Rockwell
Harold and Maude,1971,star,Ruth Gordon
Harold and Maude,1971,director,Hal Ashby
Heathers,1988,star,Winona Ryder
Heathers,1988,star,Penelope Milford
Mean Streets,1973,star,Harvey Keitel
Mean Streets,1973,star,Robert De Niro
Mean Streets,1973,director,Martin Scorsese
Mean Streets,1973,director,Martin Scorsese
Monty Python and the Holy Grail,1975,cast,Richard Burton
Miss Congeniality (film),2000,star,Sandra Bullock
Miss Congeniality (film),2000,star,Michael Caine
Miss Congeniality (film),2000,star,Candice Bergen
Mulholland Drive (film),2001,star,Naomi Watts
Mulholland Drive (film),2001,star,Robert Forster
Mulholland Drive (film),2001,cast,Lee Grant
Mulholland Drive (film),2001,director,David Lynch
Meet the Feebles,1989,director,Peter Jackson
Natural Born Killers,1994,star,Woody Harrelson
Natural Born Killers,1994,star,Juliette Lewis
Natural Born Killers,1994,star,Robert Downey Jr.
Natural Born Killers,1994,star,Tommy Lee Jones
Natural Born Killers,1994,cast,Adrien Brody
Natural Born Killers,1994,director,Oliver Stone
"O Brother, Where Art Thou?",2000,star,George Clooney
"O Brother, Where Art Thou?",2000,star,Charles Durning
"O Brother, Where Art Thou?",2000,star,Holly Hunter
Paths of Glory,1957,star,Kirk Douglas
Paths of Glory,1957,star,Adolphe Menjou
Paths of Glory,1957,director,Stanley Kubrick
Psycho (1960 film),1960,star,Anthony Perkins
Psycho (1960 film),1960,star,Martin Balsam
Psycho (1960 film),1960,star,Janet Leigh
Psycho (1960 film),1960,director,Alfred Hitchcock
The Rocky Horror Picture Show,1975,star,Susan Sarandon
Raging Bull,1980,star,Robert De Niro
Raging Bull,1980,star,Cathy Moriarty
Raging Bull,1980,star,Joe Pesci
Raging Bull,1980,director,Martin Scorsese
Raging Bull,1980,director,Martin Scorsese
Star Trek: First Contact,1996,star,Alfre Woodard
Star Trek: First Contact,1996,star,James Cromwell
Star Trek II: The Wrath of Khan,1982,star,Paul Winfield
Saving Private Ryan,1998,star,Tom Hanks
Saving Private Ryan,1998,star,Matt Damon
Saving Private Ryan,1998,cast,Paul Giamatti
Saving Private Ryan,1998,cast,Bryan Cranston
Saving Private Ryan,1998,director,Steven Spielberg
Stargate (film),1994,star,Jaye Davidson
Stargate (film),1994,cast,Djimon Hounsou
The Big Lebowski,1998,star,Jeff Bridges
The Big Lebowski,1998,star,Julianne Moore
The Big Lebowski,1998,cast,Philip Seymour Hoffman
The Big Lebowski,1998,cast,Sam Elliott
The Big Lebowski,1998,director,Joel Coen
The Rock (film),1996,star,Sean Connery
The Rock (film),1996,star,Nicolas Cage
The Rock (film),1996,star,Ed Harris
The Graduate,1967,star,Anne Bancroft
The Graduate,1967,star,Dustin Hoffman
The Graduate,1967,star,Katharine Ross
The Graduate,1967,cast,Buck Henry
The Graduate,1967,director,Mike Nichols
Taxi Driver,1976,star,Robert De Niro
Taxi Driver,1976,star,Jodie Foster
Taxi Driver,1976,star,Albert Brooks
Taxi Driver,1976,star,Harvey Keitel
Taxi Driver,1976,director,Martin Scorsese
Taxi Driver,1976,director,Martin Scorsese
The Silence of the Lambs (film),1991,star,Jodie Foster
The Silence of the Lambs (film),1991,star,Anthony Hopkins
The Silence of the Lambs (film),1991,director,Jonathan Demme
The Matrix,1999,star,Laurence Fishburne
The Terminator,1984,star,Paul Winfield
The Terminator,1984,director,James Cameron
The Big Country,1958,star,Gregory Peck
The Big Country,1958,star,Jean Simmons
The Big Country,1958,star,Charlton Heston
The Big Country,1958,star,Carroll Baker
The Big Country,1958,star,Burl Ives
The Big Country,1958,star,Charles Bickford
The Big Country,1958,director,William Wyler
The Year of Living Dangerously (film),1982,star,Mel Gibson
The Year of Living Dangerously (film),1982,star,Sigourney Weaver
The Year of Living Dangerously (film),1982,star,Linda Hunt
The Year of Living Dangerously (film),1982,director,Peter Weir
12 Monkeys,1995,star,Brad Pitt
12 Monkeys,1995,star,Christopher Plummer
The Crying Game,1992,star,Stephen Rea
The Crying Game,1992,star,Miranda Richardson
The Crying Game,1992,star,Jaye Davidson
The Crying Game,1992,star,Forest Whitaker
The Crying Game,1992,cast,Jim Broadbent
The Crying Game,1992,director,Neil Jordan
The Sixth Sense,1999,star,Toni Collette
The Sixth Sense,1999,star,Haley Joel Osment
The Sixth Sense,1999,director,M. Night Shyamalan
The Sixth Sense,1999,director,M. Night Shyamalan
The Shawshank Redemption,1994,star,Tim Robbins
The Shawshank Redemption,1994,star,Morgan Freeman
The Shawshank Redemption,1994,star,James Whitmore
The Wedding Planner,2001,star,Matthew McConaughey
The Princess Bride (film),1987,star,Chris Sarandon
The Princess Bride (film),1987,star,Peter Falk
The Princess Bride (film),1987,cast,Carol Kane
THX 1138,1971,star,Robert Duvall
THX 1138,1971,director,George Lucas
The Straight Story,1999,star,Richard Farnsworth
The Straight Story,1999,star,Sissy Spacek
The Straight Story,1999,director,David Lynch
Seven Samurai,1954,director,Akira Kurosawa
The Magnificent Seven,1960,star,Yul Brynner
The Magnificent Seven,1960,star,Steve McQueen
The Magnificent Seven,1960,star,Robert Vaughn
The Magnificent Seven,1960,star,James Coburn
The Magnificent Seven,1960,director,John Sturges
"The Good, the Bad and the Ugly",1966,star,Clint Eastwood
Until the End of the World,1991,star,William Hurt
Until the End of the World,1991,star,Max von Sydow
Unbreakable (film),2000,star,Samuel L. Jackson
Unbreakable (film),2000,director,M. Night Shyamalan
Unbreakable (film),2000,director,M. Night Shyamalan
U-571 (film),2000,star,Matthew McConaughey
U-571 (film),2000,star,Harvey Keitel
Wings of Desire,1987,star,Peter Falk
Wild Strawberries (film),1957,cast,Max von Sydow
Wild Strawberries (film),1957,director,Ingmar Bergman
Waterloo (1970 film),1970,star,Rod Steiger
Waterloo (1970 film),1970,star,Christopher Plummer
Waterloo (1970 film),1970,star,Orson Welles
Waterloo (1970 film),1970,star,Dan O'Herlihy
Traffic (2000 film),2000,star,Don Cheadle
Traffic (2000 film),2000,star,Benicio Del Toro
Traffic (2000 film),2000,star,Michael Douglas
Traffic (2000 film),2000,star,Catherine Zeta-Jones
Traffic (2000 film),2000,cast,Amy Irving
Traffic (2000 film),2000,cast,Albert Finney
Traffic (2000 film),2000,cast,Viola Davis
Traffic (2000 film),2000,cast,Salma Hayek
Traffic (2000 film),2000,director,Steven Soderbergh
