problem_names,name
Anouk Aimee,Anouk Aimée
Bong Joon Ho,Bong Joon-ho
"Cuba Gooding, Jr.","Cuba Gooding Jr."
Ellen Page,Elliot Page
Francois Truffaut,François Truffaut
Genevieve Bujold,Geneviève Bujold
Gerard Depardieu,Gérard Depardieu
Ida Kaminska,Ida Kamińska
Joel Coen and Ethan Coen,Joel Coen
Joel Coen and Ethan Coen,Ethan Coen
Krzysztof Kieslowski,Krzysztof Kieślowski
Noriyuki 'Pat' Morita,Noriyuki "Pat" Morita
"Robert Wise, Jerome Robbins",Robert Wise
"Robert Wise, Jerome Robbins",Jerome Robbins
Sir Laurence Olivier,Laurence Olivier
"Warren Beatty, Buck Henry",Warren Beatty
"Warren Beatty, Buck Henry",Buck Henry
